candidato_id,anno,nombre_candidato,numero_de_votos,nombre_distrito,nombre_normalizado,PARTIDO_CI
GOB-00084-c16c9d2cab2e4c82b60fb2ca3885360a,2021,Clara Luz Flores Carrales,"18,371",20. García,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00085-f4200a51e98e4e5d9d4b7eac06a4c83f,2021,Fernando Alejandro Larrazabal Breton,"25,194",10. San Nicolás de los Garza,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00086-4f9574f8137c4b82a5e3b071695b8f62,2021,Samuel Alejandro García Sepúlveda,"29,605",10. San Nicolás de los Garza,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00087-ae7b4afc0528430d9164f2b62af7325e,2021,Carolina Maria Garza Guerra,198,10. San Nicolás de los Garza,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00088-dbb76f122a7d4fefaa14920e5d3727f3,2021,Virginia Daney Siller Tristan,174,10. San Nicolás de los Garza,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00089-804c1e457457400cbaacd339b8d08ba1,2021,Emilio Jacques Rivera,586,10. San Nicolás de los Garza,emilio jacques rivera,Fuerza por Mexico
GOB-00090-63b63caec7f04b7288d1c7c2b9cbb374,2021,Adrian Emilio De La Garza Santos,"13,647",10. San Nicolás de los Garza,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00091-4f3457e75a5d4cd3b5ac70b505aae7f8,2021,Clara Luz Flores Carrales,"10,455",10. San Nicolás de los Garza,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00092-5eec46bae9df4f7fbf637e506d321013,2021,Fernando Alejandro Larrazabal Breton,"12,003",4. Monterrey,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00093-b480b163bdd044f69ef68bf71f1f534c,2021,Samuel Alejandro García Sepúlveda,"37,330",4. Monterrey,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00094-79754f51c8554e7b94c3af7e8b7fffa5,2021,Carolina Maria Garza Guerra,231,4. Monterrey,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00095-6fbebd69099a4eb1b5e5569679e05721,2021,Virginia Daney Siller Tristan,121,4. Monterrey,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00096-b4a35ef0ef384552bb6dada36f0f13fa,2021,Emilio Jacques Rivera,500,4. Monterrey,emilio jacques rivera,Fuerza por Mexico
GOB-00097-f40f1f5fe28d4cc994ad6c56efa45aa2,2021,Adrian Emilio De La Garza Santos,"37,342",4. Monterrey,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00098-af4d2c3565e447f398704b3ef3dcfc99,2021,Clara Luz Flores Carrales,"8,185",4. Monterrey,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00099-210ed3573efe4c54a1b92841b2eb6846,2021,Fernando Alejandro Larrazabal Breton,"13,230",3. Monterrey,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00100-70443645cf3149f9a31186305e451b4c,2021,Samuel Alejandro García Sepúlveda,"37,655",3. Monterrey,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00101-f5f70ab464624197abb363ff660edbd6,2021,Carolina Maria Garza Guerra,184,3. Monterrey,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00102-6a7b5032f7dd493fab3095f00ae17ad8,2021,Virginia Daney Siller Tristan,127,3. Monterrey,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00103-78e649235b8e4fb582531924cc74928d,2021,Emilio Jacques Rivera,459,3. Monterrey,emilio jacques rivera,Fuerza por Mexico
GOB-00104-3a4aea4e547b4a5d81b8ea9c74a1fecc,2021,Adrian Emilio De La Garza Santos,"34,828",3. Monterrey,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00105-112462bcfed74e438c31f5f45da76033,2021,Clara Luz Flores Carrales,"8,810",3. Monterrey,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
